"Date,Open,High,Low,Close"
"12/1998,4,781.73,5,044.77,4,522.86,5,002.39"
"11/1998,4,761.15,5,121.48,4,639.65,5,022.70"
"10/1998,4,226.49,4,682.45,3,896.08,4,671.12"
"09/1998,4,791.81,5,103.84,4,433.87,4,474.51"
"08/1998,5,758.77,5,758.77,4,833.89,4,833.89"
"07/1998,5,906.85,6,171.43,5,853.63,5,873.92"
"06/1998,5,582.78,5,915.13,5,527.32,5,897.44"
"05/1998,5,314.66,5,644.29,5,186.23,5,569.08"
"04/1998,5,154.21,5,442.00,5,018.67,5,107.44"
"03/1998,4,736.74,5,102.35,4,623.40,5,102.35"
"02/1998,4,522.81,4,709.83,4,486.95,4,709.83"
"01/1998,4,315.37,4,440.38,4,087.28,4,440.38"
"12/1997,4,068.05,4,249.69,4,030.16,4,249.69"
"11/1997,3,854.07,3,959.69,3,659.27,3,949.14"
"10/1997,4,196.98,4,347.24,3,567.22,3,726.69"
"09/1997,3,989.96,4,167.85,3,820.13,4,167.85"
"08/1997,4,408.79,4,414.35,3,906.03,3,906.03"
"07/1997,3,819.85,4,438.93,3,819.85,4,438.93"
"06/1997,3,605.62,3,805.29,3,605.62,3,785.77"
"05/1997,3,460.37,3,674.36,3,460.37,3,547.84"
"04/1997,3,295.93,3,438.07,3,215.24,3,438.07"
"03/1997,3,263.86,3,460.59,3,263.86,3,429.05"
"02/1997,3,062.29,3,276.72,3,062.29,3,259.64"
"01/1997,2,848.77,3,035.15,2,848.77,3,035.15"
"12/1996,2,858.60,2,909.91,2,791.96,2,888.69"
"11/1996,2,683.25,2,845.52,2,671.86,2,845.52"
"10/1996,2,655.73,2,734.82,2,655.73,2,659.25"
"09/1996,2,532.88,2,666.55,2,510.77,2,651.85"
"08/1996,2,494.46,2,563.16,2,494.46,2,543.83"
"07/1996,2,564.00,2,583.49,2,447.80,2,473.35"
"06/1996,2,532.83,2,573.69,2,532.83,2,561.39"
"05/1996,2,502.31,2,570.78,2,457.49,2,542.80"
"04/1996,2,489.09,2,550.18,2,489.09,2,505.25"
"03/1996,2,501.22,2,525.42,2,407.79,2,485.87"
"02/1996,2,459.26,2,473.55,2,382.61,2,473.55"
"01/1996,2,307.70,2,463.00,2,307.70,2,463.00"
"12/1995,2,266.56,2,286.21,2,239.76,2,260.69"
"11/1995,2,182.11,2,254.95,2,168.57,2,254.95"
"10/1995,2,197.01,2,211.88,2,112.01,2,165.76"
"09/1995,2,242.76,2,394.15,2,184.24,2,201.27"
"08/1995,2,211.26,2,269.60,2,211.03,2,234.23"
"07/1995,2,099.68,2,239.36,2,099.68,2,222.51"
"06/1995,2,118.91,2,162.39,2,089.04,2,089.04"
"05/1995,2,036.47,2,109.36,2,021.22,2,100.10"
"04/1995,1,934.96,2,028.52,1,934.96,2,017.95"
"03/1995,2,127.21,2,127.21,1,911.70,1,914.69"
"02/1995,2,047.44,2,135.49,2,038.46,2,097.85"
"01/1995,2,079.19,2,088.25,2,013.03,2,024.82"
